ID,Negara,Benua,NamaKomoditi,Tahun,Volume,Nilai,NegaraID,KomoditiID
200,Amerika Serikat,Amerika,lainnya - others,2007,41561.052,264961.509,14,5
201,Kanada,Amerika,lainnya - others,2007,2384.063,7945.784,15,5
202,UK,Eropa,lainnya - others,2007,2037.161,5857.598,16,5
203,Belanda,Eropa,lainnya - others,2007,7044.776,16035.03,17,5
204,Perancis,Eropa,lainnya - others,2007,3641.28,9119.497,18,5
205,Jerman,Eropa,lainnya - others,2007,1009.04,18687.354,19,5
206,Belgia dan Luksemburg,Eropa,lainnya - others,2007,4995.424,1462.632,20,5
207,Swedia,Eropa,lainnya - others,2007,96.169,1498.847,21,5
208,Denmark,Eropa,lainnya - others,2007,281.323,1914.542,22,5
209,Irlandia,Eropa,lainnya - others,2007,27.905,15.819,23,5
210,Italia,Eropa,lainnya - others,2007,5689.225,15457.771,24,5
211,Spanyol,Eropa,lainnya - others,2007,1036.923,2911.119,25,5
212,Yunani,Eropa,lainnya - others,2007,223.996,609.452,26,5
213,Bulgaria,Eropa,lainnya - others,2007,0.086,0.23,27,5
214,Polandia,Eropa,lainnya - others,2007,40.572,172.209,28,5
215,Slovenia,Eropa,lainnya - others,2007,1.253,27.691,29,5
216,Rusia,Eropa,lainnya - others,2007,1288.862,1993.864,30,5
217,Negara lainnya,Lainnya,lainnya - others,2007,55830.073,66565.084,31,5
218,Jepang,Asia,lainnya - others,2008,48922.108,151932.306,1,5
219,Hongkong,Asia,lainnya - others,2008,21584.115,61446.264,2,5
220,Korea Selatan,Asia,lainnya - others,2008,33338.537,57645.155,3,5
221,Taiwan,Asia,lainnya - others,2008,24426.568,27965.513,4,5
222,Cina,Asia,lainnya - others,2008,64512.869,36492.392,5,5
223,Thailand,Asia,lainnya - others,2008,66925.166,55158.568,6,5
224,Singapura,Asia,lainnya - others,2008,41882.438,67574.265,7,5
225,Filipina,Asia,lainnya - others,2008,9056.576,2229.405,8,5
226,Malaysia,Asia,lainnya - others,2008,51230.399,53842.34,9,5
227,Arab Saudi,Asia,lainnya - others,2008,5424.814,17389.26,10,5
228,Yordania,Asia,lainnya - others,2008,28.152,38.855,11,5
229,Mesir,Afrika,lainnya - others,2008,862.209,937.961,12,5
230,Australia,Australia,lainnya - others,2008,5344.271,16192.96,13,5
231,Amerika Serikat,Amerika,lainnya - others,2008,43886.814,317874.647,14,5
232,Kanada,Amerika,lainnya - others,2008,1903.851,8440.115,15,5
233,UK,Eropa,lainnya - others,2008,3028.361,8914.846,16,5
234,Belanda,Eropa,lainnya - others,2008,6968.69,17040.126,17,5
235,Perancis,Eropa,lainnya - others,2008,3757.575,8719.284,18,5
236,Jerman,Eropa,lainnya - others,2008,2001.926,5391.288,19,5
237,Belgia dan Luksemburg,Eropa,lainnya - others,2008,5749.844,22142.256,20,5
238,Swedia,Eropa,lainnya - others,2008,126.664,382.99,21,5
239,Denmark,Eropa,lainnya - others,2008,147.346,236.815,22,5
240,Irlandia,Eropa,lainnya - others,2008,85.894,1360.005,23,5
241,Italia,Eropa,lainnya - others,2008,7461.567,20154.492,24,5
242,Spanyol,Eropa,lainnya - others,2008,1354.412,3983.381,25,5
243,Yunani,Eropa,lainnya - others,2008,415.582,1260.24,26,5
244,Bulgaria,Eropa,lainnya - others,2008,0.184,0.841,27,5
245,Polandia,Eropa,lainnya - others,2008,124.074,280.837,28,5
246,Slovenia,Eropa,lainnya - others,2008,75.75,156.304,29,5
247,Rusia,Eropa,lainnya - others,2008,3404.997,6028.803,30,5
248,Negara lainnya,Lainnya,lainnya - others,2008,57044.247,95363.486,31,5
249,Jepang,Asia,lainnya - others,2009,47242.302,143439.138,1,5
250,Hongkong,Asia,lainnya - others,2009,17450.319,62243.66,2,5
251,Korea Selatan,Asia,lainnya - others,2009,25534.063,41455.429,3,5
252,Taiwan,Asia,lainnya - others,2009,24662.792,30219.109,4,5
253,Cina,Asia,lainnya - others,2009,92393.207,47223.005,5,5
254,Thailand,Asia,lainnya - others,2009,48224.011,34589.659,6,5
255,Singapura,Asia,lainnya - others,2009,39808.093,64036.561,7,5
256,Filipina,Asia,lainnya - others,2009,1239.34,2254.468,8,5
257,Malaysia,Asia,lainnya - others,2009,51613.121,51945.341,9,5
258,Arab Saudi,Asia,lainnya - others,2009,7515.423,29841.394,10,5
259,Yordania,Asia,lainnya - others,2009,52.921,41.657,11,5
260,Mesir,Afrika,lainnya - others,2009,1177.954,1124.771,12,5
261,Australia,Australia,lainnya - others,2009,5585.622,14722.461,13,5
262,Amerika Serikat,Amerika,lainnya - others,2009,40887.526,271330.387,14,5
263,Kanada,Amerika,lainnya - others,2009,1536.194,6308.806,15,5
264,UK,Eropa,lainnya - others,2009,2600.221,9061.085,16,5
265,Belanda,Eropa,lainnya - others,2009,7060.218,16200.813,17,5
266,Perancis,Eropa,lainnya - others,2009,3511.404,10258.966,18,5
267,Jerman,Eropa,lainnya - others,2009,1662.69,6284.812,19,5
268,Belgia dan Luksemburg,Eropa,lainnya - others,2009,5888.415,26659.225,20,5
269,Swedia,Eropa,lainnya - others,2009,55.788,494.382,21,5
270,Denmark,Eropa,lainnya - others,2009,88.352,179.49,22,5
271,Irlandia,Eropa,lainnya - others,2009,4.465,12.654,23,5
272,Italia,Eropa,lainnya - others,2009,6368.245,16340.562,24,5
273,Spanyol,Eropa,lainnya - others,2009,354.342,1358.484,25,5
274,Yunani,Eropa,lainnya - others,2009,211.366,469.385,26,5
275,Bulgaria,Eropa,lainnya - others,2009,40.309,147.663,27,5
276,Polandia,Eropa,lainnya - others,2009,105.08,471.057,28,5
277,Slovenia,Eropa,lainnya - others,2009,25.7,58.622,29,5
278,Rusia,Eropa,lainnya - others,2009,1149.963,3747.895,30,5
279,Negara lainnya,Lainnya,lainnya - others,2009,70804.554,73724.059,31,5
280,Jepang,Asia,lainnya - others,2010,48174.7,140052.394,1,5
281,Hongkong,Asia,lainnya - others,2010,17897.61,85407.624,2,5
282,Korea Selatan,Asia,lainnya - others,2010,26786.897,41145.699,3,5
283,Taiwan,Asia,lainnya - others,2010,32340.372,37328.453,4,5
284,Cina,Asia,lainnya - others,2010,133878.114,67073.853,5,5
285,Thailand,Asia,lainnya - others,2010,175069.465,79317.778,6,5
286,Singapura,Asia,lainnya - others,2010,41569.16,70861.176,7,5
287,Filipina,Asia,lainnya - others,2010,1334.901,3869.414,8,5
288,Malaysia,Asia,lainnya - others,2010,49375.182,55118.853,9,5
289,Arab Saudi,Asia,lainnya - others,2010,9386.742,44191.895,10,5
290,Yordania,Asia,lainnya - others,2010,44.757,108.205,11,5
291,Mesir,Afrika,lainnya - others,2010,763.779,515.041,12,5
292,Australia,Australia,lainnya - others,2010,4911.804,18168.364,13,5
293,Amerika Serikat,Amerika,lainnya - others,2010,47919.549,346398.075,14,5
294,Kanada,Amerika,lainnya - others,2010,1652.281,7071.516,15,5
295,UK,Eropa,lainnya - others,2010,2404.122,8872.974,16,5
296,Belanda,Eropa,lainnya - others,2010,5977.704,16133.513,17,5
297,Perancis,Eropa,lainnya - others,2010,4611.452,15308.524,18,5
298,Jerman,Eropa,lainnya - others,2010,2096.969,6754.41,19,5
299,Belgia dan Luksemburg,Eropa,lainnya - others,2010,5666.085,25007.167,20,5
300,Swedia,Eropa,lainnya - others,2010,60.661,446.76,21,5
301,Denmark,Eropa,lainnya - others,2010,54.831,221.006,22,5
302,Irlandia,Eropa,lainnya - others,2010,6.077,24.575,23,5
303,Italia,Eropa,lainnya - others,2010,9811.778,28130.226,24,5
304,Spanyol,Eropa,lainnya - others,2010,865.918,3058.888,25,5
305,Yunani,Eropa,lainnya - others,2010,386.989,1157.661,26,5
306,Bulgaria,Eropa,lainnya - others,2010,0.337,1.051,27,5
307,Polandia,Eropa,lainnya - others,2010,182.543,765.413,28,5
308,Slovenia,Eropa,lainnya - others,2010,0.032,0.198,29,5
309,Rusia,Eropa,lainnya - others,2010,4155.426,14264.794,30,5
310,Negara lainnya,Lainnya,lainnya - others,2010,85563.924,140057.104,31,5
311,Jepang,Asia,lainnya - others,2011,40681.667,191069.889,1,5
312,Hongkong,Asia,lainnya - others,2011,12219.577,56358.836,2,5
313,Korea Selatan,Asia,lainnya - others,2011,22085.424,54232.299,3,5
314,Taiwan,Asia,lainnya - others,2011,28923.948,40731.67,4,5
315,Cina,Asia,lainnya - others,2011,134536.408,107662.521,5,5
316,Thailand,Asia,lainnya - others,2011,133113.888,72636.272,6,5
317,Singapura,Asia,lainnya - others,2011,63282.745,73455.506,7,5
318,Filipina,Asia,lainnya - others,2011,1052.568,3403.862,8,5
319,Malaysia,Asia,lainnya - others,2011,50911.195,71861.253,9,5
320,Arab Saudi,Asia,lainnya - others,2011,10003.833,52394.221,10,5
321,Yordania,Asia,lainnya - others,2011,151.501,513.302,11,5
322,Mesir,Afrika,lainnya - others,2011,1228.232,972.516,12,5
323,Australia,Australia,lainnya - others,2011,3286.305,15779.33,13,5
324,Amerika Serikat,Amerika,lainnya - others,2011,39552.668,379491.897,14,5
325,Kanada,Amerika,lainnya - others,2011,1688.447,11170.394,15,5
326,UK,Eropa,lainnya - others,2011,3162.059,15141.98,16,5
327,Belanda,Eropa,lainnya - others,2011,7488.635,21337.494,17,5
328,Perancis,Eropa,lainnya - others,2011,4358.402,18162.147,18,5
329,Jerman,Eropa,lainnya - others,2011,2469.512,9659.326,19,5
330,Belgia dan Luksemburg,Eropa,lainnya - others,2011,5182.472,25544.413,20,5
331,Swedia,Eropa,lainnya - others,2011,70.453,685.234,21,5
332,Denmark,Eropa,lainnya - others,2011,276.028,1670.924,22,5
333,Irlandia,Eropa,lainnya - others,2011,7.766,35.498,23,5
334,Italia,Eropa,lainnya - others,2011,13200.307,61398.838,24,5
335,Spanyol,Eropa,lainnya - others,2011,2477.668,9660.8,25,5
336,Yunani,Eropa,lainnya - others,2011,489.085,3119.51,26,5
337,Bulgaria,Eropa,lainnya - others,2011,0.333,2.424,27,5
338,Polandia,Eropa,lainnya - others,2011,101.553,528.183,28,5
339,Slovenia,Eropa,lainnya - others,2011,0,0,29,5
340,Rusia,Eropa,lainnya - others,2011,3388.653,15741.827,30,5
341,Negara lainnya,Lainnya,lainnya - others,2011,115022.668,209024.634,31,5
342,Jepang,Asia,semua komoditi - all commodities,2001,120703,772616,1,0
343,Hongkong,Asia,semua komoditi - all commodities,2001,32215,67010,2,0
344,Korea Selatan,Asia,semua komoditi - all commodities,2001,12632,16991,3,0
345,Taiwan,Asia,semua komoditi - all commodities,2001,10708,20987,4,0
346,Cina,Asia,semua komoditi - all commodities,2001,20084,17712,5,0
347,Thailand,Asia,semua komoditi - all commodities,2001,19764,21997,6,0
348,Singapura,Asia,semua komoditi - all commodities,2001,62620,91635,7,0
349,Filipina,Asia,semua komoditi - all commodities,2001,3672,4345,8,0
