ID,NamaProvinsi,Wilayah,NamaKomoditi,Tahun,Volume,Nilai,ProvinsiID,KomoditiID
212,DI Yogyakarta,Jawa,semua komoditi - all commodities,2006,1.32,24.682,34,0
213,Jawa Timur,Jawa,semua komoditi - all commodities,2006,45798.169,38982.755,35,0
214,Banten,Jawa,semua komoditi - all commodities,2006,3.496,7.646,36,0
215,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2006,2121.637,1171.848,51,0
216,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2006,0,0,52,0
217,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2006,0,0,53,0
218,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2006,828.347,358.09,61,0
219,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2006,0,0,62,0
220,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2006,0,0,63,0
221,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2006,27.915,11.4,64,0
222,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2006,0,0,71,0
223,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2006,0,0,74,0
224,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2006,103.559,174.048,73,0
226,Gorontalo,Sulawesi,semua komoditi - all commodities,2006,0,0,75,0
227,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2006,0,0,76,0
228,Maluku,Maluku - Papua,semua komoditi - all commodities,2006,202.738,258.185,81,0
229,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2006,0,0,82,0
230,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2006,0,0,91,0
231,Papua,Maluku - Papua,semua komoditi - all commodities,2006,78.726,179.4,94,0
232,Aceh,Sumatera,semua komoditi - all commodities,2007,0,0,11,0
233,Sumatera Utara,Sumatera,semua komoditi - all commodities,2007,20375.046,13159.339,12,0
234,Sumatera Barat,Sumatera,semua komoditi - all commodities,2007,0,0,13,0
235,Riau,Sumatera,semua komoditi - all commodities,2007,8636.142,6696.008,14,0
236,Jambi,Sumatera,semua komoditi - all commodities,2007,851.486,370.069,15,0
237,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2007,0,0,16,0
238,Bengkulu,Sumatera,semua komoditi - all commodities,2007,0,0,17,0
239,Lampung,Sumatera,semua komoditi - all commodities,2007,8494.199,8918.498,18,0
240,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2007,0,0,19,0
241,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2007,0,0,21,0
242,DKI Jakarta,Jawa,semua komoditi - all commodities,2007,76599.096,78065.668,31,0
243,Jawa Barat,Jawa,semua komoditi - all commodities,2007,6.806,6.176,32,0
244,Jawa Tengah,Jawa,semua komoditi - all commodities,2007,2811.925,3224.544,33,0
245,DI Yogyakarta,Jawa,semua komoditi - all commodities,2007,2.5,48.95,34,0
246,Jawa Timur,Jawa,semua komoditi - all commodities,2007,23471.496,28177.218,35,0
247,Banten,Jawa,semua komoditi - all commodities,2007,38.37,56.697,36,0
248,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2007,1353.801,1442.424,51,0
249,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2007,0.301,2.069,52,0
250,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2007,0,0,53,0
251,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2007,2284.232,2025.022,61,0
252,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2007,0,0,62,0
253,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2007,0,0,63,0
254,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2007,0.564,2.531,64,0
255,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2007,0.012,0.808,71,0
256,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2007,0,0,74,0
257,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2007,52.971,134.002,73,0
259,Gorontalo,Sulawesi,semua komoditi - all commodities,2007,0,0,75,0
260,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2007,0,0,76,0
261,Maluku,Maluku - Papua,semua komoditi - all commodities,2007,165.42,216.013,81,0
262,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2007,0,0,82,0
263,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2007,0,0,91,0
264,Papua,Maluku - Papua,semua komoditi - all commodities,2007,82.956,203.552,94,0
265,Aceh,Sumatera,semua komoditi - all commodities,2008,0,0,11,0
266,Sumatera Utara,Sumatera,semua komoditi - all commodities,2008,32348.971,20770.11,12,0
267,Sumatera Barat,Sumatera,semua komoditi - all commodities,2008,0,0,13,0
268,Riau,Sumatera,semua komoditi - all commodities,2008,481.471,266.707,14,0
269,Jambi,Sumatera,semua komoditi - all commodities,2008,4538.158,2367.776,15,0
270,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2008,27,30.594,16,0
271,Bengkulu,Sumatera,semua komoditi - all commodities,2008,0,0,17,0
272,Lampung,Sumatera,semua komoditi - all commodities,2008,17483.569,19275.421,18,0
273,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2008,14.712,5.854,19,0
274,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2008,8594.914,9784.362,21,0
275,DKI Jakarta,Jawa,semua komoditi - all commodities,2008,137005.01,127386.763,31,0
276,Jawa Barat,Jawa,semua komoditi - all commodities,2008,0.514,0.256,32,0
277,Jawa Tengah,Jawa,semua komoditi - all commodities,2008,4175.19,3561.484,33,0
278,DI Yogyakarta,Jawa,semua komoditi - all commodities,2008,0,0,34,0
279,Jawa Timur,Jawa,semua komoditi - all commodities,2008,69541.7,78553.058,35,0
280,Banten,Jawa,semua komoditi - all commodities,2008,660.012,510.531,36,0
281,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2008,1468.964,1343.991,51,0
282,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2008,0,0,52,0
283,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2008,0,0,53,0
284,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2008,2175.166,1763.087,61,0
285,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2008,0,0,62,0
